"variable_name","readable_name","definition","description","type","units","allowed_values","value_labels","missing_values","source_or_origin","derivation_or_transformation","validation_rules","notes","review_status"
"scenario_id","Scenario identifier","Stable scenario key used across config, manifests, inputs, outputs, and audits.","Identifies a clinical diagnostic-reasoning scenario such as a chest-pain or dysphagia matrix.","string","not applicable","Configured IDs in config/lr_differential_scenarios.yaml","","blank not allowed","config/lr_differential_scenarios.yaml","Copied into generated manifests by input-building scripts.","Must be present in canonical manifests.","Primary join key across workflows.","complete"
"source_workbook","Source workbook path","Repository-relative path to the raw LR matrix workbook used for a generated input.","Points to a workbook under data/raw/lr_matrices or an older top-level data workbook when retained for compatibility.","path","not applicable","Existing .xlsx paths","","blank not allowed","config/lr_differential_scenarios.yaml","Resolved repo-relative by build scripts.","File must exist before build scripts run.","Prefer data/raw/lr_matrices for active inputs.","complete"
"source_sheet","Source worksheet","Worksheet in the source workbook used for parsing categories and findings.","Supports workbooks with multiple schema sheets.","string","not applicable","Workbook sheet names","","blank may mean default sheet in older workflows","config/lr_differential_scenarios.yaml","Copied into manifests.","Sheet must be readable by pandas/openpyxl.","Check workbook-specific meaning before publication reuse.","needs_review"
"parser_profile","Parser profile","Named parsing convention for category/finding extraction.","Controls how scripts detect category rows, key-feature rows, and category spans.","string","not applicable","Profiles implemented in src/dx_chat_entropy","","blank not allowed for differential workflow","config/lr_differential_scenarios.yaml","Consumed by differential input builder.","Must correspond to supported parser logic.","Profile semantics are code-defined.","complete"
"category_left","Left diagnosis category","First diagnosis/category in a pairwise differential comparison.","Used only in the differential workflow.","string","not applicable","Category labels from source workbook","","blank not allowed","data/raw/lr_matrices/**/*.xlsx","Derived from parsed category blocks.","Must be nonblank for each pairs_manifest row.","Exact labels inherit source workbook wording.","complete"
"category_right","Right diagnosis category","Second diagnosis/category in a pairwise differential comparison.","Used only in the differential workflow.","string","not applicable","Category labels from source workbook","","blank not allowed","data/raw/lr_matrices/**/*.xlsx","Derived from parsed category blocks.","Must be nonblank for each pairs_manifest row.","Exact labels inherit source workbook wording.","complete"
"findings_count","Finding count","Number of findings extracted into a generated input workbook.","Used in manifests to summarize scenario/pair size.","integer","count","Nonnegative integers","","blank not allowed in canonical manifests","Input-building scripts","Counted from parsed workbook rows.","Must be nonnegative.","Can differ by parser profile and schema.","complete"
"input_workbook","Differential input workbook","Repository-relative path to a pairwise differential input workbook.","The workbook given to model-backed LR estimation.","path","not applicable","data/processed/lr_differential/inputs/**/*.xlsx","","blank not allowed","scripts/build differential workflow","Generated from source workbook, categories, and findings.","Must exist before differential batch run or audit.","Generated public review artifact.","complete"
"output_workbook","Differential output workbook","Manifest-declared path for a model-filled differential output workbook.","Used to locate expected outputs during auditing and packaging.","path","not applicable","data/processed/lr_differential/outputs_by_model or legacy outputs path","","blank not allowed","Differential manifest and runner","Derived from input workbook path and model-scoped output root.","Must resolve to expected workbook path for audit.","Prefer model-scoped outputs_by_model paths.","complete"
"normalized_input_workbook","One-vs-rest input workbook","Repository-relative path to a normalized one-vs-rest scenario workbook.","Each workbook contains diagnosis columns and finding rows for one scenario/schema.","path","not applicable","data/processed/lr_one_vs_rest/inputs/*.xlsx","","blank not allowed","scripts/build_one_vs_rest_inputs.py","Generated from raw LR matrices.","Must exist before one-vs-rest batch run or audit.","Generated public review artifact.","complete"
"schema_sheet_name","Schema sheet name","Worksheet name assigned to a normalized one-vs-rest schema.","Allows one workbook to contain multiple schema interpretations.","string","not applicable","Generated sheet names","","blank not allowed","scripts/build_one_vs_rest_inputs.py","Generated from schema order, row index, and category count.","Must exist in normalized input workbook.","Sheet naming is implementation-defined.","complete"
"schema_order","Schema order","Sequential index for a discovered one-vs-rest schema within a source worksheet.","Orders multiple schema detections for the same source workbook/sheet.","integer","count","Positive integers","","blank not allowed","scripts/build_one_vs_rest_inputs.py","Generated during schema discovery.","Must be stable within a build run.","Compare with source workbook if interpretation matters.","needs_review"
"schema_row_idx","Schema row index","Zero-based row index in the source worksheet used to infer category labels for a one-vs-rest schema.","Documents provenance of a generated schema.","integer","row index","Nonnegative integers","","blank not allowed","scripts/build_one_vs_rest_inputs.py","Derived from workbook parsing.","Must be within source worksheet bounds.","Index is zero-based in code/manifests.","complete"
"categories_count","Category count","Number of diagnosis categories in a one-vs-rest schema.","Used for QA and coherence projection shape checks.","integer","count","Positive integers","","blank not allowed","scripts/build_one_vs_rest_inputs.py","Counted from parsed category spans.","Must be positive.","Exact disease-category semantics inherit source workbook labels.","complete"
"category_order","Category order","Position of a category within a one-vs-rest schema.","Used to align priors, raw LRs, and coherent projections.","integer","ordinal","Positive integers","","blank not allowed","scripts/build_one_vs_rest_inputs.py","Generated from category span order.","Must be unique within a schema.","Ordering is analytically meaningful for matrix alignment.","complete"
"category","Diagnosis category","Diagnosis/category label in a one-vs-rest schema or prior manifest.","Represents the target category for priors and LR columns.","string","not applicable","Category labels from source workbook","","blank not allowed","data/raw/lr_matrices/**/*.xlsx","Extracted from parsed source workbook labels.","Must align with input workbook column labels.","Exact labels inherit source workbook wording.","complete"
"prior_raw","Raw prior","Prior probability value as read from the source workbook.","Used by coherence projection when available.","number","probability or workbook-specific scale","Numeric values","","blank allowed when missing source prior","data/raw/lr_matrices/**/*.xlsx","Parsed from inferred prior row.","Should be positive if present.","Definition can vary by source workbook and should be reviewed.","needs_review"
"prior_normalized","Normalized prior","Prior probability after normalization within a schema.","Used by Bayes-coherent one-vs-rest projection.","number","probability","0 to 1","","blank not allowed when prior projection is used","scripts/build_one_vs_rest_inputs.py","Normalized from prior_raw within schema.","Should sum to 1 within scenario/schema, subject to rounding.","Core coherence input.","complete"
